Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.64.69.20:39066-18.97.36.72:443,10.64.69.20,39066,18.97.36.72,443,6,2025-08-16T10:07:26.244917,468159,2,1,374,184,308,66,187.0,171.1198410471445,184,184,184.0,0,1191.9027509884463,6.408079306389496,234079.500000,330967.6928953942,468109.000000,50.000000,468159.000000,468159.000000,0,468159.000000,468159.000000,0,0,0,0,0,1,1,0,0,40,20,4.272052870926331,2.1360264354631653,66,308,186.0,121.01239605924675,14644.0,0,0,0,2,3,0,0,0,0.5,186.0,187.0,184.0,40,308.0,0.5,657.896142122655,184.0,1.0,393.0288641252224,2,374,1,184,0,0,1,32,234079.500000,330967.6928953942,468109.000000,50.000000,0,0,0,0
20.42.73.24:443-10.64.69.20:41042,20.42.73.24,443,10.64.69.20,41042,6,2025-08-16T10:07:26.264950,1,1,0,60,0,60,60,60.0,0,0,0,0,0,60000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,60,60,60.0,0,0,0,0,1,0,1,0,0,0,0.0,60.0,60.0,0,20,0,0.0,0.0,0,0,0.0,1,60,0,0,0,0,1,20,0,0,0,0,0,0,0,0
10.64.69.76:52347-10.64.69.20:5000,10.64.69.76,52347,10.64.69.20,5000,6,2025-08-16T10:07:31.100940,20934,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,65539.31403458488,477.69179325499186,2326.000000,4273.636917193598,12054.000000,1.000000,20898.000000,5224.500000,9711.491080158597,19770.000000,1.000000,20900.000000,5225.000000,5352.084889710426,12054.000000,707.000000,1,2,0,0,100,100,238.84589662749593,238.84589662749593,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,17579.0579917837,292.0,0.4,27897.200726091523,5,614,5,758,65535,64240,4,20,2326.000000,4273.636917193598,12054.000000,1.000000,0,0,0,0
10.64.69.76:52348-10.64.69.20:5000,10.64.69.76,52348,10.64.69.20,5000,6,2025-08-16T10:07:31.100941,30724,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,42149.45970576748,325.4784533263898,3413.777777777777777777777778,6301.9387448978305,17320.000000,0.000000,30678.000000,7669.500000,14597.312047085928,29551.000000,0.000000,30516.000000,7629.000000,7963.5193643681605,17320.000000,1074.000000,1,2,0,0,100,100,162.7392266631949,162.7392266631949,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,12335.633381070173,248.0,0.4,16143.731284988933,5,625,5,670,65535,64240,4,20,3413.777777777777777777777778,6301.9387448978305,17320.000000,0.000000,0,0,0,0
10.64.69.76:52360-10.64.69.20:5000,10.64.69.76,52360,10.64.69.20,5000,6,2025-08-16T10:07:36.101105,25834,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,53108.306882403034,387.086784857165,2870.444444444444444444444444,5217.487209162834,14367.000000,0.000000,25810.000000,6452.500000,11827.618652966454,24183.000000,0.000000,25755.000000,6438.750000,6506.4469758847645,14367.000000,985.000000,1,2,0,0,100,100,193.5433924285825,193.5433924285825,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,14244.793682743672,292.0,0.4,22605.868235658436,5,614,5,758,65535,64240,4,20,2870.444444444444444444444444,5217.487209162834,14367.000000,0.000000,0,0,0,0
10.64.69.76:52361-10.64.69.20:5000,10.64.69.76,52361,10.64.69.20,5000,6,2025-08-16T10:07:36.101106,28934,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,44757.03324808184,345.61415635584433,3214.888888888888888888888889,5859.478527233555,14556.000000,0.000000,28811.000000,7202.750000,13742.368000093726,27804.000000,0.000000,28645.000000,7161.250000,7368.010015148821,14556.000000,768.000000,1,2,0,0,100,100,172.80707817792216,172.80707817792216,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,13098.7765258865,248.0,0.4,17142.46215524988,5,625,5,670,65535,64240,4,20,3214.888888888888888888888889,5859.478527233555,14556.000000,0.000000,0,0,0,0
10.64.69.76:52379-10.64.69.20:5000,10.64.69.76,52379,10.64.69.20,5000,6,2025-08-16T10:07:41.100981,26095,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,52577.12205403334,383.2151753209427,2899.444444444444444444444444,5246.579054753466,14530.000000,0.000000,26020.000000,6505.000000,12021.191316448909,24505.000000,0.000000,25974.000000,6493.500000,6517.477298259913,14530.000000,958.000000,1,2,0,0,100,100,191.60758766047135,191.60758766047135,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,14102.318451810692,292.0,0.4,22379.766238743054,5,614,5,758,65535,64240,4,20,2899.444444444444444444444444,5246.579054753466,14530.000000,0.000000,0,0,0,0
10.64.69.76:52380-10.64.69.20:5000,10.64.69.76,52380,10.64.69.20,5000,6,2025-08-16T10:07:41.100982,27814,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,46559.28669015604,359.53117135255627,3090.444444444444444444444444,5477.890472415251,13966.000000,0.000000,27793.000000,6948.250000,12906.914487333266,26279.000000,0.000000,27268.000000,6817.000000,6833.904350125678,13966.000000,851.000000,1,2,0,0,100,100,179.76558567627814,179.76558567627814,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,13626.231394261884,248.0,0.4,17832.74609908679,5,625,5,670,65535,64240,4,20,3090.444444444444444444444444,5477.890472415251,13966.000000,0.000000,0,0,0,0
10.64.69.20:41034-20.42.73.24:443,10.64.69.20,41034,20.42.73.24,443,6,2025-08-16T10:07:42.972191,260122,1,1,66,66,66,66,66.0,0,66,66,66.0,0,507.4541945702401,7.6886999177309105,260122.000000,0,260122.000000,260122.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.8443499588654553,3.8443499588654553,66,66,66.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,66.0,66.0,66.0,20,0,0.0,0.0,0,0.0,0.0,1,66,1,66,0,0,0,32,260122.000000,0,260122.000000,260122.000000,0,0,0,0
13.107.246.58:443-10.64.69.20:48012,13.107.246.58,443,10.64.69.20,48012,6,2025-08-16T10:07:44.121521,82291,5,5,393,366,105,66,78.6,18.04993074778959,78,66,73.2,6.572670690061994,9223.36586017912,121.51997180736653,9143.444444444444444444444444,14031.034781076476,33348.000000,0.000000,82291.000000,20572.750000,29144.67138689335,61825.000000,0.000000,53756.000000,13439.000000,16293.554512955932,33348.000000,104.000000,2,0,0,0,100,100,60.759985903683265,60.759985903683265,66,105,75.9,13.118688958886098,172.10000000000002,3,0,0,2,10,0,0,0,1.0,75.9,78.6,73.2,100,97.5,0.4,2369.6394502436474,0,0.0,0.0,5,393,5,366,0,0,2,32,9143.444444444444444444444444,14031.034781076476,33348.000000,0.000000,0,0,0,0
