Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.64.69.20:40326-192.168.0.207:5000,10.64.69.20,40326,192.168.0.207,5000,6,2025-08-16T09:57:41.819656,1,1,0,74,0,74,74,74.0,0,0,0,0,0,74000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,74,74,74.0,0,0,0,1,0,0,0,0,0,0,0.0,74.0,74.0,0,20,0,0.0,0.0,0,0,0.0,1,74,0,0,64240,0,0,40,0,0,0,0,0,0,0,0
10.64.69.20:48774-18.97.36.75:443,10.64.69.20,48774,18.97.36.75,443,6,2025-08-16T09:57:42.557072,343027,2,1,374,184,308,66,187.0,171.1198410471445,184,184,184.0,0,1626.6941086270176,8.74566725068289,171513.500000,242364.3847855951,342891.000000,136.000000,343027.000000,343027.000000,0,343027.000000,343027.000000,0,0,0,0,0,1,1,0,0,40,20,5.830444833788594,2.915222416894297,66,308,186.0,121.01239605924675,14644.0,0,0,0,2,3,0,0,0,0.5,186.0,187.0,184.0,40,308.0,0.5,897.8885044034434,184.0,1.0,536.4009247085506,2,374,1,184,0,0,1,32,171513.500000,242364.3847855951,342891.000000,136.000000,0,0,0,0
13.107.246.58:443-10.64.69.20:59178,13.107.246.58,443,10.64.69.20,59178,6,2025-08-16T09:57:42.700626,99165,4,4,327,276,105,66,81.75,19.189841062395487,78,66,69.0,6.0,6080.774466797761,80.6736247668028,14166.42857142857142857142857,18500.17061053891,41642.000000,0.000000,99165.000000,33055.000000,57252.93944418924,99165.000000,0.000000,63786.000000,21262.000000,20733.6128062622,41642.000000,192.000000,2,0,0,0,80,80,40.3368123834014,40.3368123834014,66,105,75.375,14.82216005079653,219.69642857142858,2,0,0,2,8,0,0,0,1.0,75.375,81.75,69.0,80,97.5,0.5,1966.4196036908183,0,0.0,0.0,4,327,4,276,0,0,2,32,14166.42857142857142857142857,18500.17061053891,41642.000000,0.000000,0,0,0,0
10.64.69.76:51816-10.64.69.20:5000,10.64.69.76,51816,10.64.69.20,5000,6,2025-08-16T09:57:43.917614,19792,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,69320.93775262732,505.25464834276477,2199.111111111111111111111111,4227.010777264604,12981.000000,1.000000,19740.000000,4935.000000,8445.795837772384,17576.000000,1.000000,19736.000000,4934.000000,5492.638649441025,12981.000000,1338.000000,1,2,0,0,100,100,252.62732417138238,252.62732417138238,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,18593.37105901374,292.0,0.4,29506.87146321746,5,614,5,758,65535,64240,4,20,2199.111111111111111111111111,4227.010777264604,12981.000000,1.000000,0,0,0,0
10.64.69.76:51817-10.64.69.20:5000,10.64.69.76,51817,10.64.69.20,5000,6,2025-08-16T09:57:43.917614,45201,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,28649.80863255238,221.23404349461296,5022.333333333333333333333333,9412.895290504404,25853.000000,0.000000,45028.000000,11257.000000,21615.516664347087,43666.000000,0.000000,44881.000000,11220.250000,12018.751276650999,25853.000000,1336.000000,1,2,0,0,100,100,110.61702174730648,110.61702174730648,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,8384.770248445831,248.0,0.4,10973.208557332802,5,625,5,670,65535,64240,4,20,5022.333333333333333333333333,9412.895290504404,25853.000000,0.000000,0,0,0,0
10.64.69.76:51818-10.64.69.20:5000,10.64.69.76,51818,10.64.69.20,5000,6,2025-08-16T09:57:48.921078,24734,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,55470.20295948897,404.3017708417563,2748.222222222222222222222222,4608.22524888318,12304.000000,1.000000,24681.000000,6170.250000,10974.506560661395,22564.000000,1.000000,24629.000000,6157.250000,5384.648510658178,12304.000000,1138.000000,1,2,0,0,100,100,202.15088542087815,202.15088542087815,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,14878.305166976632,292.0,0.4,23611.22341715857,5,614,5,758,65535,64240,4,20,2748.222222222222222222222222,4608.22524888318,12304.000000,1.000000,0,0,0,0
10.64.69.76:51819-10.64.69.20:5000,10.64.69.76,51819,10.64.69.20,5000,6,2025-08-16T09:57:48.921078,31984,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,40488.99449724863,312.6563281640821,3553.777777777777777777777778,5331.756412707209,13060.000000,0.000000,31953.000000,7988.250000,12905.669926431561,27274.000000,0.000000,31364.000000,7841.000000,5816.393441529438,13060.000000,2198.000000,1,2,0,0,100,100,156.32816408204104,156.32816408204104,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,11849.67483741871,248.0,0.4,15507.75387693847,5,625,5,670,65535,64240,4,20,3553.777777777777777777777778,5331.756412707209,13060.000000,0.000000,0,0,0,0
10.64.69.20:59184-13.107.246.58:443,10.64.69.20,59184,13.107.246.58,443,6,2025-08-16T09:57:49.051556,74170,1,1,66,60,66,66,66.0,0,60,60,60.0,0,1698.8000539301604,26.96508022111366,74170.000000,0,74170.000000,74170.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13.48254011055683,13.48254011055683,60,66,63.0,4.242640687119285,17.999999999999996,0,0,1,0,1,0,0,0,1.0,63.0,66.0,60.0,20,0,0.0,0.0,0,0.0,0.0,1,66,1,60,0,0,0,32,74170.000000,0,74170.000000,74170.000000,0,0,0,0
10.64.69.20:34478-192.168.0.207:5000,10.64.69.20,34478,192.168.0.207,5000,6,2025-08-16T09:57:45.272350,7235423,7,0,518,0,74,74,74.0,0.0,0,0,0,0,71.59222066215065,0.9674624413804142,1205903.833333333333333333333,413196.364650715,2047125.000000,1017251.000000,7235423.000000,1205903.833333333333333333333,413196.364650715,2047125.000000,1017251.000000,0,0,0,0,0,0,0,0,0,140,0,0.9674624413804142,0.0,74,74,74.0,0.0,0.0,0,7,0,0,0,0,0,0,0.0,74.0,74.0,0,140,0,0.0,0.0,0,0,0.0,7,518,0,0,64240,0,0,40,0,0,0,0,1205903.833333333333333333333,413196.364650715,2047125.000000,1017251.000000
10.64.69.20:52028-34.36.137.203:443,10.64.69.20,52028,34.36.137.203,443,6,2025-08-16T09:57:53.830029,75048,2,1,171,105,105,66,85.5,27.577164466275352,105,105,105.0,0,3677.646306363927,39.974416373520945,37524.000000,52911.38622262698,74938.000000,110.000000,75048.000000,75048.000000,0,75048.000000,75048.000000,0,0,0,0,0,1,1,0,0,40,20,26.64961091568063,13.324805457840315,66,105,92.0,22.516660498395403,506.99999999999994,0,0,0,2,3,0,0,0,0.5,92.0,85.5,105.0,40,105.0,0.5,1399.104573073233,105.0,1.0,1399.104573073233,2,171,1,105,0,0,1,32,37524.000000,52911.38622262698,74938.000000,110.000000,0,0,0,0
