Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
192.168.0.172:5000-192.168.0.207:57187,192.168.0.172,5000,192.168.0.207,57187,6,2025-08-12T12:18:00.740262,20268,2,2,487,120,244,243,243.5,0.7071067811865476,60,60,60.0,0.0,29948.687586343003,197.35543714229325,6756.000000,9656.19909695321,17905.000000,1051.000000,19217.000000,19217.000000,0,19217.000000,19217.000000,18956.000000,18956.000000,0,18956.000000,18956.000000,2,0,0,0,40,40,98.67771857114663,98.67771857114663,60,244,151.75,105.94456097412457,11224.249999999998,1,0,1,2,4,0,0,0,1.0,151.75,243.5,60.0,40,243.5,1.0,24028.024472074205,0,0.0,0.0,2,487,2,120,0,0,2,209,6756.000000,9656.19909695321,17905.000000,1051.000000,0,0,0,0
192.168.0.207:57188-192.168.0.172:5000,192.168.0.207,57188,192.168.0.172,5000,6,2025-08-12T12:18:00.744107,81769,3,4,670,761,550,60,223.33333333333334,282.90163190291656,425,54,190.25,176.69252955345905,17500.519756876078,85.60701488339102,13628.16666666666666666666667,26864.07070729726,67484.000000,0.000000,81602.000000,40801.000000,57701.32755838465,81602.000000,0.000000,81724.000000,27241.33333333333333333333333,35333.12923211491,67484.000000,1304.000000,1,2,0,0,60,80,36.68872066431044,48.918294219080586,54,550,204.42857142857142,206.39917404781212,42600.61904761904,2,0,0,3,7,0,0,0,1.3333333333333333,204.42857142857142,223.33333333333334,190.25,60,550.0,0.3333333333333333,6726.26545512358,326.5,0.5,7985.9115312649055,3,670,4,761,0,0,3,20,13628.16666666666666666666667,26864.07070729726,67484.000000,0.000000,0,0,0,0
192.168.0.211:5353-224.0.0.251:5353,192.168.0.211,5353,224.0.0.251,5353,17,2025-08-12T12:18:00.909698,1,1,0,83,0,83,83,83.0,0,0,0,0,0,83000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,83,83,83.0,0,0,0,0,0,0,0,0,0,0,0.0,83.0,83.0,0,20,0,0.0,0.0,0,0,0.0,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.0.172:40618-192.168.0.207:5000,192.168.0.172,40618,192.168.0.207,5000,6,2025-08-12T12:18:00.855430,4072336,5,0,370,0,74,74,74.0,0.0,0,0,0,0,90.85694304202796,1.2277965275949725,1018084.000000,12740.738623277171,1035355.000000,1005190.000000,4072336.000000,1018084.000000,12740.738623277171,1035355.000000,1005190.000000,0,0,0,0,0,0,0,0,0,100,0,1.2277965275949725,0.0,74,74,74.0,0.0,0.0,0,5,0,0,0,0,0,0,0.0,74.0,74.0,0,100,0,0.0,0.0,0,0,0.0,5,370,0,0,64240,0,0,40,0,0,0,0,1018084.000000,12740.738623277171,1035355.000000,1005190.000000
192.168.0.169:63048-224.0.0.251:5353,192.168.0.169,63048,224.0.0.251,5353,17,2025-08-12T12:18:01.008723,4289227,6,0,528,0,91,73,88.0,7.3484692283495345,0,0,0,0,123.09910387116372,1.3988534530814059,857845.400000,875264.0785776027,2354461.000000,295153.000000,4289227.000000,857845.400000,875264.0785776027,2354461.000000,295153.000000,0,0,0,0,0,0,0,0,0,120,0,1.3988534530814059,0.0,73,91,88.0,7.3484692283495345,54.0,0,0,0,0,0,0,0,0,0.0,88.0,88.0,0,120,0,0.0,0.0,0,0,0.0,6,528,0,0,0,0,0,0,483691.500000,296943.32303713,922465.000000,295153.000000,2354461.000000,0,2354461.000000,2354461.000000
192.168.0.172:40606-192.168.0.207:5000,192.168.0.172,40606,192.168.0.207,5000,6,2025-08-12T12:18:01.475433,3071998,3,0,222,0,74,74,74.0,0.0,0,0,0,0,72.26567204796358,0.9765631357832916,1535999.000000,712087.6413532256,2039521.000000,1032477.000000,3071998.000000,1535999.000000,712087.6413532256,2039521.000000,1032477.000000,0,0,0,0,0,0,0,0,0,60,0,0.9765631357832916,0.0,74,74,74.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,74.0,74.0,0,60,0,0.0,0.0,0,0,0.0,3,222,0,0,64240,0,0,40,0,0,0,0,1535999.000000,712087.6413532256,2039521.000000,1032477.000000
192.168.0.230:5353-224.0.0.251:5353,192.168.0.230,5353,224.0.0.251,5353,17,2025-08-12T12:18:01.619781,1,1,0,119,0,119,119,119.0,0,0,0,0,0,119000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,119,119,119.0,0,0,0,0,0,0,0,0,0,0,0.0,119.0,119.0,0,20,0,0.0,0.0,0,0,0.0,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0.0.0:68-255.255.255.255:67,0.0.0.0,68,255.255.255.255,67,17,2025-08-12T12:18:02.441744,1,1,0,351,0,351,351,351.0,0,0,0,0,0,351000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,351,351,351.0,0,0,0,0,0,0,0,0,0,0,0.0,351.0,351.0,0,20,0,0.0,0.0,0,0,0.0,1,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.0.234:5353-224.0.0.251:5353,192.168.0.234,5353,224.0.0.251,5353,17,2025-08-12T12:18:02.851535,2044597,7,0,1483,0,269,87,211.85714285714286,85.6726883190292,0,0,0,0,725.3263112486226,3.423657571638812,340766.1666666666666666666667,353015.1415871091,1024458.000000,1.000000,2044597.000000,340766.1666666666666666666667,353015.1415871091,1024458.000000,1.000000,0,0,0,0,0,0,0,0,0,140,0,3.423657571638812,0.0,87,269,211.85714285714286,85.6726883190292,7339.809523809523,0,0,0,0,0,0,0,0,0.0,211.85714285714286,211.85714285714286,0,140,0,0.0,0.0,0,0,0.0,7,1483,0,0,0,0,0,0,204027.800000,124676.60505162948,307324.000000,1.000000,1024458.000000,0,1024458.000000,1024458.000000
192.168.0.177:5353-224.0.0.251:5353,192.168.0.177,5353,224.0.0.251,5353,17,2025-08-12T12:18:03.263677,2544784,8,0,1630,0,271,129,203.75,68.62683773235408,0,0,0,0,640.5258756735346,3.143685279379311,363540.5714285714285714285714,349419.40093620884,1126568.000000,102657.000000,2544784.000000,363540.5714285714285714285714,349419.40093620884,1126568.000000,102657.000000,0,0,0,0,0,0,0,0,0,160,0,3.143685279379311,0.0,129,271,203.75,68.62683773235408,4709.642857142857,0,0,0,0,0,0,0,0,0.0,203.75,203.75,0,160,0,0.0,0.0,0,0,0.0,8,1630,0,0,0,0,0,0,236369.3333333333333333333333,103264.2309411476,406423.000000,102657.000000,1126568.000000,0,1126568.000000,1126568.000000
