Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
192.168.0.1:44280-224.0.0.251:5353,192.168.0.1,44280,224.0.0.251,5353,17,2025-08-12T12:17:39.286772,1,1,0,86,0,86,86,86.0,0,0,0,0,0,86000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,86,86,86.0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,86.0,0,20,0,0.0,0.0,0,0,0.0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.0.1:33442-224.0.0.251:5353,192.168.0.1,33442,224.0.0.251,5353,17,2025-08-12T12:17:39.286772,1,1,0,86,0,86,86,86.0,0,0,0,0,0,86000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,86,86,86.0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,86.0,0,20,0,0.0,0.0,0,0,0.0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.0.1:45644-224.0.0.251:5353,192.168.0.1,45644,224.0.0.251,5353,17,2025-08-12T12:17:39.388845,1,1,0,86,0,86,86,86.0,0,0,0,0,0,86000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,86,86,86.0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,86.0,0,20,0,0.0,0.0,0,0,0.0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.0.1:56612-224.0.0.251:5353,192.168.0.1,56612,224.0.0.251,5353,17,2025-08-12T12:17:39.388846,1,1,0,86,0,86,86,86.0,0,0,0,0,0,86000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,86,86,86.0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,86.0,0,20,0,0.0,0.0,0,0,0.0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.0.1:39481-224.0.0.251:5353,192.168.0.1,39481,224.0.0.251,5353,17,2025-08-12T12:17:39.389873,1,1,0,86,0,86,86,86.0,0,0,0,0,0,86000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,86,86,86.0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,86.0,0,20,0,0.0,0.0,0,0,0.0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.0.1:60713-224.0.0.251:5353,192.168.0.1,60713,224.0.0.251,5353,17,2025-08-12T12:17:39.389873,1,1,0,86,0,86,86,86.0,0,0,0,0,0,86000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,86,86,86.0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,86.0,0,20,0,0.0,0.0,0,0,0.0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.0.211:5353-224.0.0.251:5353,192.168.0.211,5353,224.0.0.251,5353,17,2025-08-12T12:17:40.835164,1,1,0,83,0,83,83,83.0,0,0,0,0,0,83000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,83,83,83.0,0,0,0,0,0,0,0,0,0,0,0.0,83.0,83.0,0,20,0,0.0,0.0,0,0,0.0,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.0.230:5353-224.0.0.251:5353,192.168.0.230,5353,224.0.0.251,5353,17,2025-08-12T12:17:41.650141,1,1,0,119,0,119,119,119.0,0,0,0,0,0,119000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,119,119,119.0,0,0,0,0,0,0,0,0,0,0,0.0,119.0,119.0,0,20,0,0.0,0.0,0,0,0.0,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.0.172:45489-192.168.0.1:53,192.168.0.172,45489,192.168.0.1,53,17,2025-08-12T12:17:42.254999,108674,1,1,90,260,90,90,90.0,0,260,260,260.0,0,3220.6415517971177,18.403666010269244,108674.000000,0,108674.000000,108674.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9.201833005134622,9.201833005134622,90,260,175.0,120.20815280171308,14450.000000000002,0,0,0,0,0,0,0,0,1.0,175.0,90.0,260.0,20,0,0.0,0.0,0,0.0,0.0,1,90,1,260,0,0,0,0,108674.000000,0,108674.000000,108674.000000,0,0,0,0
192.168.0.172:39248-192.168.0.1:53,192.168.0.172,39248,192.168.0.1,53,17,2025-08-12T12:17:42.256368,107306,1,1,90,304,90,90,90.0,0,304,304,304.0,0,3671.742493430004,18.638286768680224,107306.000000,0,107306.000000,107306.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9.319143384340112,9.319143384340112,90,304,197.0,151.32085117392117,22898.0,0,0,0,0,0,0,0,0,1.0,197.0,90.0,304.0,20,0,0.0,0.0,0,0.0,0.0,1,90,1,304,0,0,0,0,107306.000000,0,107306.000000,107306.000000,0,0,0,0
