Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.64.69.20:39066-18.97.36.72:443,10.64.69.20,39066,18.97.36.72,443,6,2025-08-16T10:04:32.699594,533674,1,2,209,144,209,209,209.0,0,78,66,72.0,8.48528137423857,661.4524972174024,5.621409324793788,266837.000000,343928.25308776245,510031.000000,23643.000000,0,0,0,0,0,510031.000000,510031.000000,0,510031.000000,510031.000000,1,0,0,0,20,40,1.873803108264596,3.747606216529192,66,209,117.66666666666667,79.32422916948727,6292.333333333335,0,0,0,1,3,0,0,0,2.0,117.66666666666667,209.0,72.0,20,209.0,1.0,391.6248496273006,0,0.0,0.0,1,209,2,144,0,0,1,175,266837.000000,343928.25308776245,510031.000000,23643.000000,0,0,0,0
10.64.69.20:40332-192.168.0.207:5000,10.64.69.20,40332,192.168.0.207,5000,6,2025-08-16T10:04:33.595770,1,1,0,74,0,74,74,74.0,0,0,0,0,0,74000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,74,74,74.0,0,0,0,1,0,0,0,0,0,0,0.0,74.0,74.0,0,20,0,0.0,0.0,0,0,0.0,1,74,0,0,64240,0,0,40,0,0,0,0,0,0,0,0
20.189.173.12:443-10.64.69.20:55922,20.189.173.12,443,10.64.69.20,55922,6,2025-08-16T10:04:36.631728,1,1,0,60,0,60,60,60.0,0,0,0,0,0,60000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1000000.0,0.0,60,60,60.0,0,0,0,0,1,0,1,0,0,0,0.0,60.0,60.0,0,20,0,0.0,0.0,0,0,0.0,1,60,0,0,0,0,1,20,0,0,0,0,0,0,0,0
10.64.69.76:52092-10.64.69.20:5000,10.64.69.76,52092,10.64.69.20,5000,6,2025-08-16T10:04:40.604580,26849,3,4,488,692,368,60,162.66666666666666,177.82388291040473,364,54,173.0,149.4567942026502,43949.49532571045,260.7173451525196,4474.833333333333333333333333,7073.434623057364,17537.000000,1.000000,26793.000000,13396.500000,18944.097774768794,26792.000000,1.000000,26798.000000,8932.666666666666666666666667,8096.067213983178,17537.000000,1465.000000,1,2,0,0,60,80,111.73600506536556,148.98134008715408,54,368,168.57142857142858,147.44361311233203,21739.61904761905,2,0,0,3,7,0,0,0,1.3333333333333333,168.57142857142858,162.66666666666666,173.0,60,368.0,0.3333333333333333,13706.283288018176,292.0,0.5,21751.275652724496,3,488,4,692,0,0,3,20,4474.833333333333333333333333,7073.434623057364,17537.000000,1.000000,0,0,0,0
10.64.69.76:52096-10.64.69.20:5000,10.64.69.76,52096,10.64.69.20,5000,6,2025-08-16T10:04:40.605590,23743,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,54542.39144168807,421.1767678894832,2638.111111111111111111111111,4950.122307692115,15037.000000,0.000000,23663.000000,5915.750000,10175.855291653212,21152.000000,0.000000,23710.000000,5927.500000,6359.945728279972,15037.000000,800.000000,1,2,0,0,100,100,210.5883839447416,210.5883839447416,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,15962.599503011414,248.0,0.4,20890.36768731837,5,625,5,670,65535,64240,4,20,2638.111111111111111111111111,4950.122307692115,15037.000000,0.000000,0,0,0,0
10.64.69.76:52097-10.64.69.20:5000,10.64.69.76,52097,10.64.69.20,5000,6,2025-08-16T10:04:42.033750,32475,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,42247.88298691301,307.92917628945344,3608.333333333333333333333333,5760.865755248945,17738.000000,0.000000,29954.000000,7488.500000,12291.482538733886,25829.000000,0.000000,31937.000000,7984.250000,6792.495632436333,17738.000000,2547.000000,1,2,0,0,100,100,153.96458814472672,153.96458814472672,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,11331.793687451887,292.0,0.4,17983.063895304083,5,614,5,758,65535,64240,4,20,3608.333333333333333333333333,5760.865755248945,17738.000000,0.000000,0,0,0,0
10.64.69.76:52098-10.64.69.20:5000,10.64.69.76,52098,10.64.69.20,5000,6,2025-08-16T10:04:42.033751,25973,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,49859.46944904324,385.01520810072,2885.888888888888888888888889,4561.062470643338,11634.000000,1.000000,25920.000000,6480.000000,11026.668369608897,22880.000000,1.000000,24498.000000,6124.500000,5472.135140875086,11634.000000,1112.000000,1,2,0,0,100,100,192.50760405036,192.50760405036,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,14592.076387017287,248.0,0.4,19096.75432179571,5,625,5,670,65535,64240,4,20,2885.888888888888888888888889,4561.062470643338,11634.000000,1.000000,0,0,0,0
10.64.69.20:55064-192.168.0.207:5000,10.64.69.20,55064,192.168.0.207,5000,6,2025-08-16T10:04:37.182140,7166504,7,0,518,0,74,74,74.0,0.0,0,0,0,0,72.28071037147262,0.9767663563712516,1194417.333333333333333333333,415270.69240757485,2042071.000000,1021517.000000,7166504.000000,1194417.333333333333333333333,415270.69240757485,2042071.000000,1021517.000000,0,0,0,0,0,0,0,0,0,140,0,0.9767663563712516,0.0,74,74,74.0,0.0,0.0,0,7,0,0,0,0,0,0,0.0,74.0,74.0,0,140,0,0.0,0.0,0,0,0.0,7,518,0,0,64240,0,0,40,0,0,0,0,1194417.333333333333333333333,415270.69240757485,2042071.000000,1021517.000000
10.64.69.76:52099-10.64.69.20:5000,10.64.69.76,52099,10.64.69.20,5000,6,2025-08-16T10:04:42.890023,1575,3,2,778,120,652,60,259.3333333333333,340.07254128102335,66,54,60.0,8.48528137423857,570158.7301587302,3174.6031746031745,393.750000,506.5776511717297,1111.000000,0.000000,1188.000000,594.000000,840.0428560496184,1188.000000,0.000000,1498.000000,1498.000000,0,1498.000000,1498.000000,1,0,0,0,60,40,1904.7619047619048,1269.8412698412699,54,652,179.6,264.1264848514817,69762.79999999997,0,2,0,1,4,0,0,0,0.6666666666666666,179.6,259.3333333333333,60.0,60,652.0,0.3333333333333333,413968.25396825396,0,0.0,0.0,3,778,2,120,65535,64240,2,20,393.750000,506.5776511717297,1111.000000,0.000000,0,0,0,0
10.64.69.76:52100-10.64.69.20:5000,10.64.69.76,52100,10.64.69.20,5000,6,2025-08-16T10:04:42.891210,4156163,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,330.11217317511364,2.406065402150974,461795.8888888888888888888889,1379386.7478380061,4140145.000000,1.000000,4156114.000000,1039028.500000,2067421.933088083,4140145.000000,1.000000,4156126.000000,1039031.500000,2068215.9899490671,4141345.000000,727.000000,1,2,0,0,100,100,1.203032701075487,1.203032701075487,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,88.54320679915585,292.0,0.4,140.5142194856169,5,614,5,758,65535,64240,4,20,2002.250000,4287.769575032155,12517.000000,1.000000,4140145.000000,0,4140145.000000,4140145.000000
